"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02818V03389","Agricultural Product","UNIT","VALUE"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","026","Feeding stuffs","Base 2015=100","107.1545737"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0261","Straight feeding stuffs","Base 2015=100","111.8045493"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","0262","Compound feeding stuffs","Base 2015=100","106.9166894"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02621","Compound feeding stuffs for calves","Base 2015=100","107.1118977"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02622","Compound feeding stuffs for cattle excluding calves","Base 2015=100","105.7346959"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02623","Compound feeding stuffs for pigs","Base 2015=100","110.2602159"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02624","Compound feeding stuffs for poultry","Base 2015=100","106.6342781"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","02625","Other compound feeding stuffs","Base 2015=100","107.0221568"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","030","Maintenance of materials and buildings","Base 2015=100","103.4086026"
"AHA04","Agricultural Input and Output Price Indices","2018","2018","029","Other goods and services","Base 2015=100","104.3641241"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01","Agricultural output price index","Base 2015=100","103.2979289"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","011","Crop output","Base 2015=100","131.6898362"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0111","Cereals including seeds","Base 2015=100","133.1199658"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01121","Fruit and Vegetables","Base 2015=100","108.3218849"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0113","Potatoes including seeds","Base 2015=100","185.5605474"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","012","Animal output","Base 2015=100","99.57662958"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0121","Animals","Base 2015=100","93.64799791"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01211","Cattle","Base 2015=100","88.11728159"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","012111","Cattle excluding calves","Base 2015=100","88.25643994"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","012112","Calves","Base 2015=100","63.45294813"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01212","Pigs","Base 2015=100","114.2855407"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01213","Sheep","Base 2015=100","99.01781395"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01214","Poultry","Base 2015=100","100.1770794"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","0122","Animal products","Base 2015=100","108.5187244"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01221","Milk","Base 2015=100","109.1260282"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","01222","Eggs","Base 2015=100","98.94736292"
"AHA04","Agricultural Input and Output Price Indices","2019","2019","012231","Wool","Base 2015=100","35.40771206"
